URL,ID,Försäljningspris(SEK),Säljare,Bränsle,Växellåda,Miltal (mil),Modellår,Modell,Plats,Märke,Rubrik,Modellvariant
https://www.blocket.se/mobility/item/18111761,18111761,359900,Företag,El,Automatisk,8867,2021,2,Upplands Väsby,Polestar,Polestar 2 Long Range Dual Motor Plus Pilot Perf. Läder Drag,Long Range Dual Motor Plus Pilot Perf. Läder Drag
https://www.blocket.se/mobility/item/18847111,18847111,354900,Företag,El,Automatisk,7419,2021,2,Upplands Väsby,Polestar,Polestar 2 Long Range Dual Motor 78kWh Plus Pilot 0 % RÄNTA,Long Range Dual Motor 78kWh Plus Pilot 0 % RÄNTA
https://www.blocket.se/mobility/item/18850710,18850710,354900,Företag,El,Automatisk,9158,2021,2,Upplands Väsby,Polestar,Polestar 2 Long Range Dual Motor 78kWh Plus Pilot 0% RÄNTA,Long Range Dual Motor 78kWh Plus Pilot 0% RÄNTA
https://www.blocket.se/mobility/item/19613389,19613389,299700,Företag,El,Automatisk,13500,2021,2,Upplands Väsby,Polestar,Polestar 2 Long Range Dual Motor 408hk Pilot Plus Skinn H/K Pano D,Long Range Dual Motor 408hk Pilot Plus Skinn H/K Pano D
https://www.blocket.se/mobility/item/18556445,18556445,314900,Företag,El,Automatisk,9916,2021,2,Upplands Väsby,Polestar,Polestar 2 Long Range Dual Motor Pilot Plus Drag 408hk,Long Range Dual Motor Pilot Plus Drag 408hk
https://www.blocket.se/mobility/item/19222875,19222875,359900,Företag,El,Automatisk,8628,2021,2,Uppsala,Polestar,Polestar 2 Long Range Dual Motor Performance PVärm H/K Pano,Long Range Dual Motor Performance PVärm H/K Pano
https://www.blocket.se/mobility/item/19690129,19690129,409700,Företag,El,Automatisk,2208,2021,2,Varberg,Polestar,Polestar 2 Long Range Dual Motor Plus Pilot Performance 408 HK Pan,Long Range Dual Motor Plus Pilot Performance 408 HK Pan
https://www.blocket.se/mobility/item/19544791,19544791,284000,Privat,El,Automatisk,6400,2022,2,Åby,Polestar,"Polestar 2 Standard Range Single Motor Pano, H/K, garanti","Standard Range Single Motor Pano, H/K, garanti"
https://www.blocket.se/mobility/item/19096829,19096829,308000,Företag,El,Automatisk,6950,2022,2,Arlandastad,Polestar,"Polestar 2 Standard Range Single Motor / CarPlay, Dragkrok","Standard Range Single Motor / CarPlay, Dragkrok"
https://www.blocket.se/mobility/item/18822889,18822889,338500,Företag,El,Automatisk,7450,2022,2,Falkenberg,Polestar,Polestar 2 Long Range Single Motor Pilot plus Pano 360° Drag,Long Range Single Motor Pilot plus Pano 360° Drag
https://www.blocket.se/mobility/item/18556101,18556101,369000,Företag,El,Automatisk,4790,2022,2,Frillesås,Polestar,Polestar 2 Long Range Dual Motor 360° Glastak H/K BLIS,Long Range Dual Motor 360° Glastak H/K BLIS
